"sample_id","config","full_basis","rl_basis","q_csv","min_eig","rank","residual_linf","status"
"3","3n6d","20","13","sample_3_3n6d_Q_RL.csv","-5.64350181542752E-09","6","1.55286463312975E-10","optimal"
"8","3n4d","10","6","sample_8_3n4d_Q_RL.csv","-1.73902769692741E-09","2","6.34803321020172E-11","optimal"
"9","4n4d","15","7","sample_9_4n4d_Q_RL.csv","-7.62282903899085E-09","3","8.88178419700125E-14","optimal"
"10","4n4d","15","10","sample_10_4n4d_Q_RL.csv","-2.34423295342113E-08","6","8.07388256212656E-13","optimal"
"11","3n4d","10","10","sample_11_3n4d_Q_RL.csv","-7.94994517168496E-10","6","2.22044604925031E-15","optimal"
"15","3n4d","10","4","sample_15_3n4d_Q_RL.csv","2.01056383445951E-14","1","2.03170938141249E-14","optimal"
"16","3n4d","10","4","sample_16_3n4d_Q_RL.csv","-2.93016371166743E-08","2","2.97539770599542E-14","optimal"
"21","3n6d","20","6","sample_21_3n6d_Q_RL.csv","-3.39149530282469E-16","3","8.88178419700125E-16","optimal"
"22","3n6d","20","6","sample_22_3n6d_Q_RL.csv","2.88394486935856E-16","3","4.44089209850063E-16","optimal"
"30","3n6d","20","20","sample_30_3n6d_Q_RL.csv","-1.4657242283222E-10","12","4.69402294811516E-13","optimal"
"33","4n6d","35","31","sample_33_4n6d_Q_RL.csv","-1.23249762761704E-08","18","5.87556669984224E-11","optimal"
"35","3n6d","20","6","sample_35_3n6d_Q_RL.csv","0.026942259025945593","6","2.68673971959288E-14","optimal"
"54","3n8d","35","13","sample_54_3n8d_Q_RL.csv","1.63991507819063E-15","12","4.44089209850063E-15","optimal"
"55","3n8d","35","3","sample_55_3n8d_Q_RL.csv","8.32667268468845E-17","2","3.33066907387547E-16","optimal"
"57","3n8d","35","9","sample_57_3n8d_Q_RL.csv","-3.55816251173768E-09","6","2.6789815157346E-10","optimal"
"58","3n8d","35","10","sample_58_3n8d_Q_RL.csv","0.5666411165184027","10","1.4210854715202E-14","optimal"
"59","3n8d","35","12","sample_59_3n8d_Q_RL.csv","0.9187715227262822","12","7.105427357601E-15","optimal"
"60","3n8d","35","9","sample_60_3n8d_Q_RL.csv","-4.05937031942676E-09","4","2.519475153757E-14","optimal"
"65","3n8d","35","3","sample_65_3n8d_Q_RL.csv","8.32667268468845E-17","2","3.33066907387547E-16","optimal"
"101","3n8d","35","7","sample_101_3n8d_Q_RL.csv","-5.55249990628521E-12","5","8.71303029725823E-13","optimal"
